dteday,season,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1/5/2011,spring,13,0,Wednesday,1,Clear,0.28,0.2576,0.3,0.2985,71
1/5/2011,spring,14,0,Wednesday,1,Clear,0.3,0.2879,0.28,0.194,62
1/5/2011,spring,15,0,Wednesday,1,Clear,0.3,0.2879,0.28,0.194,62
1/5/2011,spring,16,0,Wednesday,1,Clear,0.3,0.3182,0.28,0.0896,89
1/5/2011,spring,17,0,Wednesday,1,Clear,0.24,0.2273,0.38,0.194,190
1/5/2011,spring,18,0,Wednesday,1,Clear,0.24,0.2424,0.38,0.1343,169
1/5/2011,spring,19,0,Wednesday,1,Clear,0.24,0.2576,0.38,0.1045,132
1/5/2011,spring,20,0,Wednesday,1,Clear,0.22,0.2273,0.47,0.1642,89
1/5/2011,spring,21,0,Wednesday,1,Clear,0.2,0.197,0.51,0.194,43
1/5/2011,spring,22,0,Wednesday,1,Clear,0.18,0.197,0.55,0.1343,42
1/5/2011,spring,23,0,Wednesday,1,Clear,0.2,0.2576,0.47,0,19
1/6/2011,spring,0,0,Thursday,1,Clear,0.18,0.2424,0.55,0,11
1/6/2011,spring,1,0,Thursday,1,Clear,0.16,0.2273,0.64,0,4
1/6/2011,spring,2,0,Thursday,1,Clear,0.16,0.2273,0.64,0,2
1/6/2011,spring,4,0,Thursday,1,Slightly cloudy,0.16,0.197,0.64,0.0896,1
1/6/2011,spring,5,0,Thursday,1,Slightly cloudy,0.14,0.1818,0.69,0.0896,4
1/6/2011,spring,6,0,Thursday,1,Slightly cloudy,0.14,0.1667,0.63,0.1045,36
1/6/2011,spring,7,0,Thursday,1,Slightly cloudy,0.16,0.2273,0.59,0,95
1/6/2011,spring,8,0,Thursday,1,Clear,0.16,0.2273,0.59,0,219
1/6/2011,spring,9,0,Thursday,1,Slightly cloudy,0.18,0.2424,0.51,0,122
1/6/2011,spring,10,0,Thursday,1,Clear,0.2,0.2576,0.47,0,45
1/6/2011,spring,11,0,Thursday,1,Clear,0.22,0.2576,0.44,0.0896,59
1/6/2011,spring,12,0,Thursday,1,Clear,0.26,0.2879,0.35,0,84
1/6/2011,spring,13,0,Thursday,1,Clear,0.26,0.2727,0.35,0.1045,67
1/6/2011,spring,14,0,Thursday,1,Clear,0.28,0.2727,0.36,0.1642,70
1/6/2011,spring,15,0,Thursday,1,Clear,0.28,0.2727,0.36,0,62
1/6/2011,spring,16,0,Thursday,1,Clear,0.26,0.2576,0.38,0.1642,86
1/6/2011,spring,17,0,Thursday,1,Clear,0.22,0.2273,0.51,0.1642,172
1/6/2011,spring,18,0,Thursday,1,Clear,0.22,0.2273,0.51,0.1343,163
1/6/2011,spring,19,0,Thursday,1,Clear,0.22,0.2576,0.55,0.0896,112
1/6/2011,spring,20,0,Thursday,1,Clear,0.2,0.2121,0.51,0.1642,69
1/6/2011,spring,21,0,Thursday,1,Slightly cloudy,0.22,0.2121,0.55,0.2239,48
1/6/2011,spring,22,0,Thursday,1,Slightly cloudy,0.22,0.2121,0.51,0.2836,52
1/6/2011,spring,23,0,Thursday,1,Slightly cloudy,0.2,0.197,0.59,0.194,23
1/7/2011,spring,0,0,Friday,1,Slightly cloudy,0.2,0.197,0.64,0.194,17
1/7/2011,spring,1,0,Friday,1,Slightly cloudy,0.2,0.197,0.69,0.2239,7
1/7/2011,spring,2,0,Friday,1,Slightly cloudy,0.2,0.197,0.69,0.2239,1
1/7/2011,spring,4,0,Friday,1,Slightly cloudy,0.2,0.2121,0.69,0.1343,1
1/7/2011,spring,5,0,Friday,1,Light Snow,0.22,0.2727,0.55,0,5
1/7/2011,spring,6,0,Friday,1,Slightly cloudy,0.2,0.2576,0.69,0,34
1/7/2011,spring,7,0,Friday,1,Clear,0.2,0.2121,0.69,0.1343,84
1/7/2011,spring,8,0,Friday,1,Clear,0.2,0.197,0.51,0.2537,210
1/7/2011,spring,9,0,Friday,1,Clear,0.2,0.1818,0.47,0.2985,134
1/7/2011,spring,10,0,Friday,1,Clear,0.22,0.197,0.37,0.3284,63
1/7/2011,spring,11,0,Friday,1,Slightly cloudy,0.2,0.197,0.4,0.2239,67
1/7/2011,spring,12,0,Friday,1,Slightly cloudy,0.2,0.197,0.37,0.2537,59
1/7/2011,spring,13,0,Friday,1,Slightly cloudy,0.2,0.1818,0.37,0.2836,73
1/7/2011,spring,14,0,Friday,1,Slightly cloudy,0.2,0.197,0.4,0.2537,50
1/7/2011,spring,15,0,Friday,1,Slightly cloudy,0.2,0.2121,0.37,0.1642,72
1/7/2011,spring,16,0,Friday,1,Slightly cloudy,0.2,0.2121,0.37,0.1642,87
1/7/2011,spring,17,0,Friday,1,Slightly cloudy,0.2,0.2576,0.37,0,187
1/7/2011,spring,18,0,Friday,1,Clear,0.2,0.2273,0.4,0.0896,123
1/7/2011,spring,19,0,Friday,1,Clear,0.16,0.197,0.55,0.0896,95
1/7/2011,spring,20,0,Friday,1,Clear,0.18,0.2121,0.47,0.1045,51
1/7/2011,spring,21,0,Friday,1,Clear,0.18,0.197,0.47,0.1343,39
1/7/2011,spring,22,0,Friday,1,Slightly cloudy,0.18,0.197,0.43,0.1642,36
1/7/2011,spring,23,0,Friday,1,Slightly cloudy,0.18,0.197,0.51,0.1642,15
1/8/2011,spring,0,0,Saturday,0,Slightly cloudy,0.18,0.197,0.51,0.1642,25
1/8/2011,spring,1,0,Saturday,0,Slightly cloudy,0.18,0.2121,0.55,0.0896,16
1/8/2011,spring,2,0,Saturday,0,Slightly cloudy,0.18,0.2424,0.55,0,16
1/8/2011,spring,3,0,Saturday,0,Light Snow,0.18,0.197,0.55,0.1642,7
1/8/2011,spring,4,0,Saturday,0,Light Snow,0.18,0.197,0.55,0.1642,1
1/8/2011,spring,5,0,Saturday,0,Slightly cloudy,0.16,0.1667,0.74,0.1642,5
1/8/2011,spring,6,0,Saturday,0,Slightly cloudy,0.16,0.1667,0.74,0.1642,2
1/8/2011,spring,7,0,Saturday,0,Slightly cloudy,0.16,0.1818,0.74,0.1045,9
1/8/2011,spring,8,0,Saturday,0,Light Snow,0.16,0.1818,0.93,0.1045,15
1/8/2011,spring,9,0,Saturday,0,Light Snow,0.16,0.1818,0.93,0.1045,20
1/8/2011,spring,10,0,Saturday,0,Slightly cloudy,0.18,0.197,0.8,0.1642,61
1/8/2011,spring,11,0,Saturday,0,Slightly cloudy,0.2,0.1818,0.69,0.3881,62
1/8/2011,spring,12,0,Saturday,0,Slightly cloudy,0.2,0.1818,0.59,0.3582,98
1/8/2011,spring,13,0,Saturday,0,Clear,0.2,0.1818,0.44,0.3284,102
1/8/2011,spring,14,0,Saturday,0,Clear,0.2,0.1667,0.32,0.4925,95
1/8/2011,spring,15,0,Saturday,0,Clear,0.2,0.1667,0.32,0.4478,74
1/8/2011,spring,16,0,Saturday,0,Clear,0.18,0.1364,0.29,0.4478,76
1/8/2011,spring,17,0,Saturday,0,Clear,0.16,0.1212,0.37,0.5522,69
1/8/2011,spring,18,0,Saturday,0,Clear,0.14,0.1212,0.39,0.2985,55
1/8/2011,spring,19,0,Saturday,0,Clear,0.14,0.1212,0.36,0.2537,30
1/8/2011,spring,20,0,Saturday,0,Clear,0.12,0.1212,0.36,0.2537,28
1/8/2011,spring,21,0,Saturday,0,Clear,0.12,0.1061,0.39,0.3582,37
1/8/2011,spring,22,0,Saturday,0,Clear,0.12,0.1061,0.36,0.3881,34
1/8/2011,spring,23,0,Saturday,0,Clear,0.1,0.0606,0.39,0.4478,22
1/9/2011,spring,0,0,Sunday,0,Clear,0.1,0.0758,0.42,0.3881,25
1/9/2011,spring,1,0,Sunday,0,Clear,0.1,0.0606,0.42,0.4627,12
1/9/2011,spring,2,0,Sunday,0,Clear,0.1,0.0606,0.46,0.4627,11
1/9/2011,spring,3,0,Sunday,0,Clear,0.1,0.0758,0.46,0.4179,4
1/9/2011,spring,4,0,Sunday,0,Clear,0.08,0.0909,0.53,0.194,1
1/9/2011,spring,5,0,Sunday,0,Clear,0.08,0.0909,0.53,0.194,1
1/9/2011,spring,6,0,Sunday,0,Clear,0.1,0.0909,0.49,0.2836,1
1/9/2011,spring,7,0,Sunday,0,Clear,0.08,0.0909,0.53,0.194,6
1/9/2011,spring,8,0,Sunday,0,Clear,0.1,0.0909,0.49,0.2836,10
1/9/2011,spring,9,0,Sunday,0,Clear,0.12,0.0758,0.46,0.5224,19
1/9/2011,spring,10,0,Sunday,0,Clear,0.14,0.1061,0.43,0.3881,49
1/9/2011,spring,11,0,Sunday,0,Clear,0.16,0.1212,0.4,0.5224,49
1/9/2011,spring,12,0,Sunday,0,Clear,0.18,0.1364,0.37,0.4478,83
1/9/2011,spring,13,0,Sunday,0,Clear,0.2,0.1667,0.34,0.4478,75
1/9/2011,spring,14,0,Sunday,0,Clear,0.22,0.1818,0.32,0.4627,72
1/9/2011,spring,15,0,Sunday,0,Clear,0.22,0.197,0.35,0.3582,82
1/9/2011,spring,16,0,Sunday,0,Clear,0.2,0.1667,0.34,0.4478,92
1/9/2011,spring,17,0,Sunday,0,Clear,0.18,0.1515,0.37,0.3881,62
1/9/2011,spring,18,0,Sunday,0,Clear,0.16,0.1364,0.4,0.3284,48
1/9/2011,spring,19,0,Sunday,0,Clear,0.16,0.1364,0.43,0.3284,41
1/9/2011,spring,20,0,Sunday,0,Clear,0.14,0.1212,0.46,0.2537,38
1/9/2011,spring,21,0,Sunday,0,Clear,0.14,0.1061,0.46,0.4179,20
1/9/2011,spring,22,0,Sunday,0,Clear,0.14,0.1212,0.46,0.2985,15
1/9/2011,spring,23,0,Sunday,0,Clear,0.12,0.1364,0.5,0.194,6
1/10/2011,spring,0,0,Monday,1,Clear,0.12,0.1212,0.5,0.2836,5
1/10/2011,spring,1,0,Monday,1,Clear,0.12,0.1212,0.5,0.2836,1
1/10/2011,spring,2,0,Monday,1,Clear,0.12,0.1212,0.5,0.2239,3
1/10/2011,spring,3,0,Monday,1,Clear,0.12,0.1212,0.5,0.2239,1
1/10/2011,spring,4,0,Monday,1,Clear,0.1,0.1212,0.54,0.1343,3
1/10/2011,spring,5,0,Monday,1,Clear,0.1,0.1061,0.54,0.2537,3
1/10/2011,spring,6,0,Monday,1,Clear,0.12,0.1212,0.5,0.2836,31
1/10/2011,spring,7,0,Monday,1,Clear,0.12,0.1212,0.5,0.2239,77
1/10/2011,spring,8,0,Monday,1,Slightly cloudy,0.12,0.1212,0.5,0.2836,188
1/10/2011,spring,9,0,Monday,1,Slightly cloudy,0.14,0.1212,0.5,0.2537,94
1/10/2011,spring,10,0,Monday,1,Slightly cloudy,0.14,0.1212,0.5,0.2985,31
1/10/2011,spring,11,0,Monday,1,Slightly cloudy,0.16,0.1364,0.47,0.2836,30
1/10/2011,spring,12,0,Monday,1,Slightly cloudy,0.2,0.1818,0.4,0.2836,52
1/10/2011,spring,13,0,Monday,1,Slightly cloudy,0.2,0.1818,0.4,0.2836,54
1/10/2011,spring,14,0,Monday,1,Slightly cloudy,0.2,0.197,0.4,0.2239,47
1/10/2011,spring,15,0,Monday,1,Slightly cloudy,0.2,0.197,0.4,0.2239,45
1/10/2011,spring,16,0,Monday,1,Clear,0.2,0.2121,0.4,0.1343,74
1/10/2011,spring,17,0,Monday,1,Clear,0.2,0.2273,0.4,0.1045,178
1/10/2011,spring,18,0,Monday,1,Clear,0.2,0.197,0.4,0.2239,155
1/10/2011,spring,19,0,Monday,1,Clear,0.16,0.1667,0.47,0.1642,95
1/10/2011,spring,20,0,Monday,1,Clear,0.16,0.1667,0.5,0.1642,74
1/10/2011,spring,21,0,Monday,1,Clear,0.14,0.1364,0.59,0.194,38
1/10/2011,spring,22,0,Monday,1,Clear,0.14,0.1515,0.59,0.1642,24
1/10/2011,spring,23,0,Monday,1,Clear,0.14,0.1515,0.59,0.1642,18
1/11/2011,spring,0,0,Tuesday,1,Clear,0.14,0.1667,0.59,0.1045,12
1/11/2011,spring,1,0,Tuesday,1,Clear,0.14,0.1515,0.59,0.1642,3
1/11/2011,spring,2,0,Tuesday,1,Slightly cloudy,0.16,0.1515,0.55,0.194,3
1/11/2011,spring,5,0,Tuesday,1,Slightly cloudy,0.16,0.1818,0.55,0.1343,6
1/11/2011,spring,6,0,Tuesday,1,Slightly cloudy,0.16,0.1818,0.55,0.1343,27
1/11/2011,spring,7,0,Tuesday,1,Slightly cloudy,0.16,0.2273,0.55,0,99
1/11/2011,spring,8,0,Tuesday,1,Slightly cloudy,0.18,0.2121,0.51,0.0896,217
1/11/2011,spring,9,0,Tuesday,1,Slightly cloudy,0.18,0.197,0.51,0.1642,130
1/11/2011,spring,10,0,Tuesday,1,Slightly cloudy,0.2,0.2121,0.51,0.1642,54
1/11/2011,spring,11,0,Tuesday,1,Slightly cloudy,0.2,0.2121,0.47,0.1343,35
1/11/2011,spring,12,0,Tuesday,1,Slightly cloudy,0.2,0.2273,0.51,0.1045,57
1/11/2011,spring,13,0,Tuesday,1,Slightly cloudy,0.2,0.2273,0.59,0.0896,52
1/11/2011,spring,14,0,Tuesday,1,Slightly cloudy,0.2,0.2273,0.59,0.0896,63
1/11/2011,spring,15,0,Tuesday,1,Slightly cloudy,0.16,0.197,0.8,0.0896,47
1/11/2011,spring,16,0,Tuesday,1,Slightly cloudy,0.16,0.1515,0.86,0.2239,76
1/11/2011,spring,17,0,Tuesday,1,Slightly cloudy,0.16,0.1515,0.86,0.2239,136
1/11/2011,spring,18,0,Tuesday,1,Light Snow,0.16,0.1818,0.93,0.1045,95
1/11/2011,spring,19,0,Tuesday,1,Light Snow,0.16,0.2273,0.93,0,51
1/11/2011,spring,20,0,Tuesday,1,Light Snow,0.16,0.1515,0.93,0.194,32
1/11/2011,spring,21,0,Tuesday,1,Light Snow,0.16,0.197,0.86,0.0896,20
1/11/2011,spring,22,0,Tuesday,1,Light Snow,0.16,0.1818,0.93,0.1045,29
1/11/2011,spring,23,0,Tuesday,1,Light Snow,0.16,0.197,0.93,0.0896,19
1/12/2011,spring,0,0,Wednesday,1,Slightly cloudy,0.16,0.197,0.86,0.0896,7
1/12/2011,spring,1,0,Wednesday,1,Slightly cloudy,0.16,0.1818,0.86,0.1045,6
1/12/2011,spring,2,0,Wednesday,1,Clear,0.14,0.1515,0.86,0.1343,1
1/12/2011,spring,5,0,Wednesday,1,Clear,0.14,0.1515,0.86,0.1642,5
1/12/2011,spring,6,0,Wednesday,1,Clear,0.12,0.1515,0.93,0.1343,16
1/12/2011,spring,7,0,Wednesday,1,Clear,0.14,0.1515,0.69,0.1343,54
1/12/2011,spring,8,0,Wednesday,1,Clear,0.16,0.1667,0.59,0.1642,128
1/12/2011,spring,9,0,Wednesday,1,Clear,0.16,0.1364,0.59,0.3284,81
1/12/2011,spring,10,0,Wednesday,1,Clear,0.18,0.1818,0.55,0.2239,39
1/12/2011,spring,11,0,Wednesday,1,Clear,0.2,0.1818,0.51,0.3881,35
1/12/2011,spring,12,0,Wednesday,1,Clear,0.2,0.1515,0.47,0.5821,55
1/12/2011,spring,13,0,Wednesday,1,Clear,0.22,0.197,0.44,0.3582,49
1/12/2011,spring,14,0,Wednesday,1,Clear,0.2,0.1818,0.47,0.3284,44
1/12/2011,spring,15,0,Wednesday,1,Clear,0.2,0.1667,0.47,0.4179,49
1/12/2011,spring,16,0,Wednesday,1,Clear,0.22,0.197,0.44,0.3284,68
1/12/2011,spring,17,0,Wednesday,1,Clear,0.2,0.1818,0.47,0.3582,139
1/12/2011,spring,18,0,Wednesday,1,Clear,0.2,0.1515,0.47,0.5224,137
1/12/2011,spring,19,0,Wednesday,1,Clear,0.18,0.1515,0.47,0.4179,83
1/12/2011,spring,20,0,Wednesday,1,Clear,0.16,0.1364,0.5,0.3284,56
1/12/2011,spring,21,0,Wednesday,1,Clear,0.16,0.1364,0.55,0.3284,57
1/12/2011,spring,22,0,Wednesday,1,Clear,0.16,0.1212,0.55,0.4478,33
1/12/2011,spring,23,0,Wednesday,1,Clear,0.14,0.1061,0.59,0.4179,20
1/13/2011,spring,0,0,Thursday,1,Clear,0.14,0.1212,0.59,0.2836,7
1/13/2011,spring,1,0,Thursday,1,Clear,0.14,0.1212,0.5,0.2836,2
1/13/2011,spring,2,0,Thursday,1,Clear,0.14,0.1212,0.5,0.3582,2
1/13/2011,spring,3,0,Thursday,1,Clear,0.14,0.1212,0.5,0.3284,3
1/13/2011,spring,4,0,Thursday,1,Clear,0.14,0.1212,0.5,0.2537,4
1/13/2011,spring,5,0,Thursday,1,Clear,0.14,0.1212,0.5,0.2985,3
1/13/2011,spring,6,0,Thursday,1,Clear,0.12,0.1515,0.54,0.1343,28
1/13/2011,spring,7,0,Thursday,1,Clear,0.12,0.1515,0.54,0.1343,72
1/13/2011,spring,8,0,Thursday,1,Clear,0.14,0.1364,0.5,0.194,202
1/13/2011,spring,9,0,Thursday,1,Clear,0.14,0.1212,0.5,0.3284,139
1/13/2011,spring,10,0,Thursday,1,Slightly cloudy,0.16,0.1364,0.5,0.3582,38
1/13/2011,spring,11,0,Thursday,1,Slightly cloudy,0.2,0.1667,0.44,0.4478,37
1/13/2011,spring,12,0,Thursday,1,Clear,0.2,0.1667,0.44,0.4179,52
1/13/2011,spring,13,0,Thursday,1,Clear,0.22,0.197,0.41,0.4478,83
1/13/2011,spring,14,0,Thursday,1,Clear,0.22,0.197,0.41,0.3881,42
1/13/2011,spring,15,0,Thursday,1,Clear,0.24,0.2121,0.38,0.2985,60
1/13/2011,spring,16,0,Thursday,1,Clear,0.24,0.2121,0.38,0.3582,78
1/13/2011,spring,17,0,Thursday,1,Clear,0.2,0.1818,0.4,0.2836,162
1/13/2011,spring,18,0,Thursday,1,Clear,0.2,0.1818,0.4,0.3284,144
1/13/2011,spring,19,0,Thursday,1,Clear,0.16,0.1515,0.47,0.2537,99
1/13/2011,spring,20,0,Thursday,1,Clear,0.16,0.1515,0.47,0.2239,64
1/13/2011,spring,21,0,Thursday,1,Clear,0.14,0.1212,0.46,0.2985,40
1/13/2011,spring,22,0,Thursday,1,Clear,0.14,0.1212,0.46,0.3284,30
1/13/2011,spring,23,0,Thursday,1,Clear,0.12,0.1364,0.5,0.194,15
1/14/2011,spring,0,0,Friday,1,Clear,0.12,0.1364,0.5,0.194,14
